"project","pair_id","expected_type","expected_scope","view","top_k","method_top_k","method_count","avg_exhaustive_similarity","avg_constrained_similarity","avg_similarity_delta","max_exhaustive_similarity","max_constrained_similarity","max_non_constructor_constrained_similarity","best_left_method","best_right_method","best_non_constructor_left_method","best_non_constructor_right_method","avg_candidate_reduction","total_exhaustive_candidate_pairs","total_constrained_candidate_pairs","runtime_ms","status","error","transformation_tag","difficulty","limitation_tag","notes"
"T2","java_t2_rename_05","T2","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameLiteralVariant.<init>()V","RenameBase.weightedTotal([I)I","RenameLiteralVariant.computeAmount([I)I","0.1892857142857143","61","42","2028","success","","RENAMING","L2","THRESHOLDS_HEURISTIC","Threshold literal changes from 10 to 12"
"T3","java_t3_insert_delete_01","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.5364312416778502","0.5364312416778502","0.0","1.0","1.0","0.6814392524256861","StatementBase.<init>()V","StatementVariant.<init>()V","StatementBase.clampAndSum([I)I","StatementVariant.clampAndSum([I)I","0.23239507667473772","95","75","1583","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Small Type-3 example for calibration"
"T3","java_t3_insert_delete_01","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.5364312416778501","0.4867855367597882","0.04964570491806192","1.0","1.0","0.4828564327534385","StatementBase.<init>()V","StatementVariant.<init>()V","StatementBase.clampAndSum([I)I","StatementVariant.clampAndSum([I)I","0.2492055084745763","95","55","1540","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Small Type-3 example for calibration"
"T3","java_t3_insert_delete_01","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.5364312416778501","0.4867855367597882","0.04964570491806192","1.0","1.0","0.4828564327534385","StatementBase.<init>()V","StatementVariant.<init>()V","StatementBase.clampAndSum([I)I","StatementVariant.clampAndSum([I)I","0.2492055084745763","95","55","1984","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Small Type-3 example for calibration"
"T3","java_t3_null_log_02","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.5164310003093437","0.5164310003093437","0.0","1.0","1.0","0.6014382869516604","StatementBase.<init>()V","StatementNullAndLog.<init>()V","StatementBase.clampAndSum([I)I","StatementNullAndLog.clampAndSum([I)I","0.21092958459979735","79","62","1860","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Added guard and extra variable"
"T3","java_t3_null_log_02","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.5164310003093436","0.46249504015762033","0.053935960151723306","1.0","1.0","0.40323290507659815","StatementBase.<init>()V","StatementNullAndLog.<init>()V","StatementBase.clampAndSum([I)I","StatementNullAndLog.clampAndSum([I)I","0.20567375886524825","79","52","2314","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Added guard and extra variable"
"T3","java_t3_null_log_02","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.5164310003093436","0.4704457838481698","0.04598521646117387","1.0","1.0","0.4350358798387959","StatementBase.<init>()V","StatementNullAndLog.<init>()V","StatementBase.clampAndSum([I)I","StatementNullAndLog.clampAndSum([I)I","0.20035460992907803","79","53","1615","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Added guard and extra variable"
"T3","java_t3_cap_only_03","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.5958333333333333","0.5958333333333333","0.0","1.0","1.0","0.8333333333333334","StatementBase.<init>()V","StatementCapOnly.<init>()V","StatementBase.clampAndSum([I)I","StatementCapOnly.clampAndSum([I)I","0.047619047619047616","74","71","1516","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","One branch removed"
"T3","java_t3_cap_only_03","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.5958333333333333","0.575","0.020833333333333343","1.0","1.0","0.75","StatementBase.<init>()V","StatementCapOnly.<init>()V","StatementBase.clampAndSum([I)I","StatementCapOnly.clampAndSum([I)I","0.15773809523809523","74","55","1460","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","One branch removed"
"T3","java_t3_cap_only_03","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.5958333333333333","0.575","0.020833333333333343","1.0","1.0","0.75","StatementBase.<init>()V","StatementCapOnly.<init>()V","StatementBase.clampAndSum([I)I","StatementCapOnly.clampAndSum([I)I","0.15773809523809523","74","55","1474","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","One branch removed"
